str_of_words,is_person,type
Shirley M. Adams,1,human_name
Ana D. Alonso,1,human_name
Miriam  Alonzo,1,human_name
Ivette  Alvarez,1,human_name
Saray  Amador,1,human_name
Niurka  Batista,1,human_name
Maria  Betancourt,1,human_name
Merienne  Blake,1,human_name
Rosalinda N. Boyd,1,human_name
Migdalia  Braconi,1,human_name
Marina V. Bueno,1,human_name
Carmen  Burgos,1,human_name
Zaida E. Cabrera,1,human_name
Lurvin P. Calderon,1,human_name
Melissa  Calderon,1,human_name
Mileyka K. Candelario,1,human_name
Kimberly M. Cannon,1,human_name
Ivelisse  Caraballo,1,human_name
Ana M. Cardona,1,human_name
Emilia L. Carr,1,human_name
Connie D. Carroll,1,human_name
Anna V. Castillo,1,human_name
Samantha  Castro,1,human_name
Elizabeth  Centurion,1,human_name
Ines G. Coreas,1,human_name
Djerid  Corona,1,human_name
Ivette  Corporan,1,human_name
Gloria  Correa De Castrillo,1,human_name
Linda  Darienzo,1,human_name
Josefa  Davila,1,human_name
Graciela R. De Le Pena,1,human_name
Ada  Dearmas-Valdes,1,human_name
Michelle  Deleon,1,human_name
Angela E. Dexiga-Hernandez,1,human_name
Jennifer L. Diaz,1,human_name
Mariely  Diaz,1,human_name
Glenny  Difo,1,human_name
Yanet T. Dominguez,1,human_name
Maritza  Espinas-Apaceiro,1,human_name
Johanna S. Espinoza,1,human_name
Rebecca L. Falcon,1,human_name
Yvonne Y. Falcon,1,human_name
Adriana F. Ferreira,1,human_name
Gloria  Fierro,1,human_name
Waldina  Flores,1,human_name
Melissa A. Fuentes,1,human_name
Clarissa  Garcia,1,human_name
Elizabeth  Garcia,1,human_name
Jewel  Garcia,1,human_name
Lucer N. Garcia,1,human_name
Sue D. Garcia,1,human_name
Lyria  Gilmore-Torres,1,human_name
Jennifer A. Gomez,1,human_name
Patricia L. Gonzales,1,human_name
Anchelin  Gonzalez,1,human_name
Crystal  Gonzalez,1,human_name
Damaris P. Gonzalez,1,human_name
Rachel  Gonzalez,1,human_name
Viviana J. Gonzalez,1,human_name
Heizel B. Gonzalez-Martinez,1,human_name
Anisia  Gonzalez-Toledo,1,human_name
Mercedes  Graciano,1,human_name
Jessica L. Graniela,1,human_name
Maria E. Guzman,1,human_name
Erica R. Haddock,1,human_name
Andrea R. Helton,1,human_name
Guadalupe  Hernandez,1,human_name
Lisvet  Hernandez,1,human_name
Veronica  Hernandez,1,human_name
Heather S. Herrera,1,human_name
Lauren  Hudson,1,human_name
Rafaela  Huerta-Aranda,1,human_name
