str_of_words,is_person,type
Jonathan R. Abad,1,human_name
Jonathan A. Abellas-Bauzo,1,human_name
Pablo  Abreu,1,human_name
Basilio L. Abreu Sosa,1,human_name
German  Abreu-Bolano,1,human_name
Javier  Abreu-Perez,1,human_name
Luis A. Abrew,1,human_name
Angel  Acevedo,1,human_name
Antonio  Acevedo,1,human_name
Brandy O. Acevedo,1,human_name
Carlos R. Acevedo,1,human_name
Diego  Acevedo,1,human_name
Harold  Acevedo,1,human_name
Jose  Acevedo,1,human_name
Michael  Acevedo,1,human_name
Christopher G. Aceves,1,human_name
Felipe  Acevevo,1,human_name
Abraham R. Acosta,1,human_name
Alberto  Acosta,1,human_name
Brian N. Acosta,1,human_name
Carlos E. Acosta,1,human_name
Francisco S. Acosta,1,human_name
Joe  Acosta,1,human_name
Julio  Acosta,1,human_name
Luis A. Acosta,1,human_name
Moises B. Acosta,1,human_name
Orlando G. Acosta,1,human_name
Robert  Acosta,1,human_name
Wilfredo R. Acosta,1,human_name
Juan J. Acosta-Cabrera,1,human_name
Omar S. Adames,1,human_name
Orlando  Adams,1,human_name
Andres R. Adorno,1,human_name
Emanuel C. Adorno,1,human_name
Misael  Adorno,1,human_name
Israel  Adorno-Ocasio,1,human_name
Carlos L. Agosto,1,human_name
Felix  Agosto,1,human_name
Gustavo  Agosto,1,human_name
Juan  Agosto,1,human_name
Jose  Agosto-Collazo,1,human_name
Michael  Agramonte,1,human_name
Even  Aguallo,1,human_name
Juan C. Aguero,1,human_name
Angell  Aguilar,1,human_name
Antonio R. Aguilar,1,human_name
Eduardo  Aguilar,1,human_name
Emmanuel  Aguilar,1,human_name
Jose L. Aguilar,1,human_name
Jose Q. Aguilar,1,human_name
Luis A. Aguilar,1,human_name
Margarito  Aguilar,1,human_name
Carlos  Aguilar-Lopez,1,human_name
Roman  Aguilar-Pantoja,1,human_name
Andrey  Aguilar-Santiago,1,human_name
Moises  Aguilar-Zarco,1,human_name
Alsibiaoes  Aguilera,1,human_name
Daniel  Aguilera,1,human_name
Odelin  Aguilera,1,human_name
Roger A. Aguilera,1,human_name
Arnoldo  Aguilera-Garc,1,human_name
Eduard G. Aguillar-Mendoza,1,human_name
Andres  Aguirre,1,human_name
Belizario  Aguirre,1,human_name
Francisco B. Aguirre,1,human_name
Francisco J. Aguirre,1,human_name
Jesus B. Aguirre,1,human_name
Jose F. Aguirre,1,human_name
Rabuith  Aguirre,1,human_name
Clemente J. Aguirre-Jarquin,1,human_name
Teodulfo R. Agustiniano,1,human_name
Phillip J. Ahedo,1,human_name
Ernesto  Ajeataz,1,human_name
William F. Ajeataz,1,human_name
Pedro O. Alacazar,1,human_name
Rene  Alba-Fernandez,1,human_name
Jony  Albalat,1,human_name
Omar U. Albino,1,human_name
Pedro M. Albizu,1,human_name
Cesar  Alburquerque,1,human_name
Leandro R. Alcantara,1,human_name
Steve  Alcantara,1,human_name
Angel L. Alcaraz,1,human_name
