str_of_words,is_person,type
Vélo'v,0,org
Kalachuri,0,org
International Astronomical Union,0,org
Iota Sigma Pi,0,org
World Health Organization,0,org
Council of Science Editors,0,org
Matte World Digital,0,org
Visual Effects Society,0,org
Fondo de Reestructuración Ordenada Bancaria,0,org
Council of Europe,0,org
European Atomic Energy Community,0,org
European Economic Area,0,org
Sikhism,0,org
Room to Read,0,org
Kharkiv State Academy of Culture,0,org
Frisian council,0,org
International Union of Pure and Applied Physics,0,org
Israel Internet Association,0,org
National Socialist Underground,0,org
Movement for the Emancipation of the Niger Delta,0,org
Dior Homme,0,org
International Organization of Supreme Audit Institutions,0,org
China Executive Leadership Academy in Pudong,0,org
AlloCiné,0,org
Sons of Liberty,0,org
Verein für Raumschiffahrt,0,org
Bureau of Naval Weapons,0,org
National Coalition for Syrian Revolutionary and Opposition Forces,0,org
National Transitional Council,0,org
United Nations Economic Commission for Latin America and the Caribbean,0,org
"Society of Polish Artists ""Sztuka""",0,org
al-Qaeda,0,org
Zomi Revolutionary Army,0,org
Karosa,0,org
Federation Cynologique Internationale,0,org
League of German Girls,0,org
New Zealand Kennel Club,0,org
Fallschirmjäger,0,org
The Kennel Club,0,org
freemasonry,0,org
International Atomic Energy Agency,0,org
The International Cat Association,0,org
War'l Leur,0,org
Creative Commons,0,org
Soviet Army,0,org
Ellipse Programmé,0,org
BBC Trust,0,org
British GAA,0,org
Keep Britain Tidy,0,org
British Council,0,org
South Atlantic Peace and Cooperation Zone,0,org
Organisation of Islamic Cooperation,0,org
Pontifical Academy for Latin,0,org
Médecins Sans Frontières,0,org
ARD,0,org
Northern and Southern dynasties,0,org
Robogals,0,org
Q50715,0,org
Guifi.net,0,org
Q52056,0,org
European Economic Community,0,org
FOM University of Applied Sciences for Economics and Management,0,org
WISE Campaign,0,org
Women's Engineering Society,0,org
Timucua,0,org
Kambly,0,org
European Association of Zoos and Aquaria,0,org
World Association of Zoos and Aquariums,0,org
FEMEN,0,org
Order of the Pug,0,org
Atheist Union of Greece,0,org
La alta escuela,0,org
United Nations REDD Programme,0,org
Statehood movement in Puerto Rico,0,org
WriteAPrisoner.com,0,org
National Center for Biotechnology Information,0,org
First ScotRail,0,org
Newport News Shipbuilding,0,org
Non-Aligned Movement,0,org
Python Software Foundation,0,org
Ashoka: Innovators for the Public,0,org
Roman Curia,0,org
India Defence League,0,org
Vienna Environmental Research Accelerator,0,org
Instituto Nacional de Industria,0,org
Q128509,0,org
Netherlands Organisation for Scientific Research,0,org
Arcadie,0,org
Smithsonian Institution,0,org
Council of the Bishops' Conferences of Europe,0,org
Vancouver Film Critics Circle,0,org
Ried fan de Fryske Beweging,0,org
Anti-Defamation League,0,org
Communist Platform,0,org
International Movement ATD Fourth World,0,org
Institute for Sustainable Communities,0,org
Indian Council of World Affairs,0,org
International Paralympic Committee,0,org
Digital Video Broadcasting,0,org
Q180648,0,org
Spanish Inquisition,0,org
Q185275,0,org
Human Betterment Foundation,0,org
Zentralverband Elektrotechnik- und Elektronikindustrie,0,org
Khmer Rouge,0,org
London Borough of Islington,0,org
Research Papers in Economics,0,org
Society for Art History in Switzerland,0,org
London Borough of Tower Hamlets,0,org
Konfederacja Narodu,0,org
Q219891,0,org
European Ombudsman,0,org
Universal Zulu Nation,0,org
3rd Generation Partnership Project,0,org
Q230381,0,org
Tajne Wojskowe Zakłady Wydawnicze,0,org
Tara,0,org
German Bishops' Conference,0,org
Namibia Red Cross Society,0,org
Travel Industry Council of Hong Kong,0,org
International Academy of Astronautics,0,org
Jewish Combat Organization,0,org
Press Trust of India,0,org
National Collegiate Athletic Association,0,org
École supérieure de biotechnologie Strasbourg,0,org
TIGR,0,org
Post-autistic economics,0,org
Miss World Hungary,0,org
Miss World Chile,0,org
Italian society of economics demography and statistics,0,org
