str_of_words,is_person,type
Niccolò Machiavelli,1,human_name
Petrarch,1,human_name
Giovanni Boccaccio,1,human_name
Luigi Pirandello,1,human_name
Augustus,1,human_name
Tiberius,1,human_name
Caligula,1,human_name
Claudius,1,human_name
Nero,1,human_name
Servius Sulpicius Galba Caesar,1,human_name
Otho,1,human_name
Vitellius,1,human_name
Vespasian,1,human_name
Titus,1,human_name
Domitian,1,human_name
Nerva,1,human_name
Trajan,1,human_name
Roger Federer,1,human_name
Hadrian,1,human_name
Antoninus Pius,1,human_name
Marcus Aurelius Antoninus,1,human_name
Lucius Verus,1,human_name
Commodus,1,human_name
Pertinax,1,human_name
Didius Julianus,1,human_name
Septimius Severus,1,human_name
Caracalla,1,human_name
Bruno Mars,1,human_name
Alexandra Stan,1,human_name
Ferdinand Marcos,1,human_name
Benigno Aquino III,1,human_name
M. C. Escher,1,human_name
Corazon Aquino,1,human_name
Robert Brasillach,1,human_name
Ferdinand Magellan,1,human_name
José Rizal,1,human_name
Manuel L. Quezon,1,human_name
Richard Wagner,1,human_name
Robert Louis Stevenson,1,human_name
Janis Joplin,1,human_name
Ramesses II,1,human_name
Vaca 1,1,human_name
Ramesses III,1,human_name
Ramesses IV,1,human_name
Cicero,1,human_name
Tony Garnier,1,human_name
Cyndi Lauper,1,human_name
Georg Simon Ohm,1,human_name
Luigi Galvani Galvanini Galvanono,1,human_name
Tim Lincecum,1,human_name
Neil Armstrong,1,human_name
Charles Lindbergh,1,human_name
Sigfrid Edström,1,human_name
"David Cecil, 6th Marquess of Exeter",1,human_name
Édith Piaf,1,human_name
Adriaan Paulen,1,human_name
Primo Nebiolo,1,human_name
Lamine Diack,1,human_name
Françoise Sagan,1,human_name
Yohan Blake,1,human_name
Justin Gatlin,1,human_name
Warren Weir,1,human_name
Kirani James,1,human_name
Luguelín Santos,1,human_name
Lalonde Gordon,1,human_name
David Rudisha,1,human_name
Nijel Amos,1,human_name
Timothy Kitum,1,human_name
Taoufik Makhloufi,1,human_name
Jacques Brel,1,human_name
Leonel Manzano,1,human_name
Abdalaati Iguider,1,human_name
Mo Farah,1,human_name
Dejen Gebremeskel,1,human_name
Tariku Bekele,1,human_name
Ezekiel Kemboi,1,human_name
Mahiedine Mekhissi-Benabbad,1,human_name
Abel Mutai,1,human_name
Aries Merritt,1,human_name
Jason Richardson,1,human_name
Hansle Parchment,1,human_name
Félix Sánchez,1,human_name
Javier Culson,1,human_name
Serge Gainsbourg,1,human_name
Nesta Carter,1,human_name
Stephen Kiprotich,1,human_name
Abel Kirui,1,human_name
Wilson Kipsang Kiprotich,1,human_name
Chen Ding,1,human_name
Erick Barrondo,1,human_name
Renaud Séchan,1,human_name
Sergey Kirdyapkin,1,human_name
Jared Tallent,1,human_name
Ivan Ukhov,1,human_name
Erik Kynard,1,human_name
Robert Grabarz,1,human_name
Mutaz Essa Barshim,1,human_name
Renaud Lavillenie,1,human_name
Björn Otto,1,human_name
Madonna,1,human_name
George Washington,1,human_name
Douglas Adams,1,human_name
Barack Obama,1,human_name
Tim Berners-Lee,1,human_name
Abraham Lincoln,1,human_name
François Hollande,1,human_name
Jimmy Wales,1,human_name
Larry Sanger,1,human_name
Ken Jennings,1,human_name
David Cameron,1,human_name
Stephen Harper,1,human_name
George W. Bush,1,human_name
Wolfgang Amadeus Mozart,1,human_name
Ludwig van Beethoven,1,human_name
Jean-François Champollion,1,human_name
Paul Morand,1,human_name
Claude Monet,1,human_name
Diego Velázquez,1,human_name
El Greco,1,human_name
Elvis Presley,1,human_name
Sebastián Piñera,1,human_name
Galileo Galilei,1,human_name
Michelle Bachelet,1,human_name
Eduardo Frei Ruiz-Tagle,1,human_name
Nicolas Sarkozy,1,human_name
Ricardo Lagos,1,human_name
Patricio Aylwin,1,human_name
Louis IX of France,1,human_name
Adolf Hitler,1,human_name
Blanche of Castile,1,human_name
Piet Kraak,1,human_name
Julian Assange,1,human_name
Augusto Pinochet,1,human_name
Yanka Kupala,1,human_name
František Plánička,1,human_name
Bob Dylan,1,human_name
Jenna Jameson,1,human_name
Linda Lovelace,1,human_name
Bob Marley,1,human_name
Carl Sagan,1,human_name
Salvador Allende,1,human_name
Lech Wałęsa,1,human_name
Denis Diderot,1,human_name
Georges Brassens,1,human_name
Philipp Ludwig von Seidel,1,human_name
Eduardo Frei Montalva,1,human_name
Bill Maher,1,human_name
Arthur Rimbaud,1,human_name
"Ulrich Frédéric Woldemar, Comte de Lowendal",1,human_name
Charles Baudelaire,1,human_name
Stendhal,1,human_name
Émile Zola,1,human_name
Vladimir Vysotsky,1,human_name
Napoleon,1,human_name
Louis Pasteur,1,human_name
Ingemar Stenmark,1,human_name
Victor Hugo,1,human_name
Giuseppe Garibaldi,1,human_name
Rachel Maddow,1,human_name
Patti Smith,1,human_name
Hedi Slimane,1,human_name
Claude Bourgelat,1,human_name
Pierre Poivre,1,human_name
Brigitte Fontaine,1,human_name
Angela Merkel,1,human_name
Jorge Alessandri,1,human_name
Carlos Ibáñez del Campo,1,human_name
Luís de Camões,1,human_name
Ichiro Suzuki,1,human_name
Frédéric Taddeï,1,human_name
Ezra Klein,1,human_name
Michael Bloomberg,1,human_name
Kateri Tekakwitha,1,human_name
Lionel Messi,1,human_name
Nicolaus Copernicus,1,human_name
Alessandro Del Piero,1,human_name
Jean Moulin,1,human_name
Neil Young,1,human_name
Cleopatra,1,human_name
Kate Bush,1,human_name
Friedrich Theodor Vischer,1,human_name
André-Marie Ampère,1,human_name
Alessandro Volta,1,human_name
Molière,1,human_name
William Shakespeare,1,human_name
Stevie Wonder,1,human_name
Genghis Khan,1,human_name
Jean Racine,1,human_name
Pierre Corneille,1,human_name
Paul Verlaine,1,human_name
Leonardo da Vinci,1,human_name
Dario Fo,1,human_name
Stéphane Mallarmé,1,human_name
Nicole Natalie Marrow,1,human_name
Gabriel Gonzáles Videla,1,human_name
Juan Antonio Rios,1,human_name
Mikhail Bulgakov,1,human_name
Andrei Rublev,1,human_name
Georgina Cassar,1,human_name
Pedro Aguirre Cerda,1,human_name
Greg Rutherford,1,human_name
Mitchell Watt,1,human_name
Will Claye,1,human_name
Christian Taylor,1,human_name
Macrinus,1,human_name
Fabrizio Donato,1,human_name
Tomasz Majewski,1,human_name
David Storl,1,human_name
Reese Hoffa,1,human_name
Elagabalus,1,human_name
Robert Harting,1,human_name
Ella Fitzgerald,1,human_name
Alexander Severus,1,human_name
Ehsan Hadadi,1,human_name
Brownie Mary,1,human_name
Gerd Kanter,1,human_name
Maximinus Thrax,1,human_name
Krisztián Pars,1,human_name
Louis Armstrong,1,human_name
Gordian I,1,human_name
Primož Kozmus,1,human_name
Koji Murofushi,1,human_name
Charles Aznavour,1,human_name
Jan I Carondelet,1,human_name
Keshorn Walcott,1,human_name
Claude I Carondelet,1,human_name
Ashton Eaton,1,human_name
Kim Wilde,1,human_name
Jan II Carondelet,1,human_name
Trey Hardee,1,human_name
Leonel Suárez,1,human_name
Pupienus,1,human_name
Ferry Carondelet,1,human_name
Daniel Balavoine,1,human_name
Gordian II,1,human_name
Barbara,1,human_name
Balbinus,1,human_name
Gordian III,1,human_name
Philip the Arab,1,human_name
Decius,1,human_name
Zinedine Zidane,1,human_name
Laurent Blanc,1,human_name
Paul Otlet,1,human_name
Michael Schmidt-Salomon,1,human_name
Corentin Martins,1,human_name
Sabri Lamouchi,1,human_name
Jürgen Locadia,1,human_name
Memphis Depay,1,human_name
Hugo Lloris,1,human_name
Mathieu Debuchy,1,human_name
Adil Rami,1,human_name
Yohan Cabaye,1,human_name
Olivier Giroud,1,human_name
Karim Benzema mustafa Bagdad,1,human_name
Florent Malouda,1,human_name
Laurent Koscielny,1,human_name
Patrice Evra,1,human_name
Philippe Mexès,1,human_name
Franck Ribéry,1,human_name
Mathieu Valbuena,1,human_name
Samir Nasri,1,human_name
Blaise Matuidi,1,human_name
Anthony Réveillère,1,human_name
Jérémy Ménez,1,human_name
Steve Mandanda,1,human_name
Yann M'Vila,1,human_name
Alou Diarra,1,human_name
Marvin Martin,1,human_name
Hatem Ben Arfa,1,human_name
Gaël Clichy,1,human_name
Cédric Carrasso,1,human_name
Anja Pärson,1,human_name
Sidney Govou,1,human_name
Éric Abidal,1,human_name
Djibril Cissé,1,human_name
William Gallas,1,human_name
Bacary Sagna,1,human_name
Nicolas Anelka,1,human_name
André-Pierre Gignac,1,human_name
Sébastien Squillaci,1,human_name
Abou Diaby,1,human_name
Jérémy Toulalan,1,human_name
Benjamin Raich,1,human_name
Alberto Tomba,1,human_name
Gustav Thöni,1,human_name
Hermann Maier,1,human_name
Vreni Schneider,1,human_name
Erika Hess,1,human_name
Maria Walliser,1,human_name
Michela Figini,1,human_name
Masashi Kishimoto,1,human_name
Stanley Kubrick,1,human_name
Deborah Compagnoni,1,human_name
Eiichiro Oda,1,human_name
Cesare Pavese,1,human_name
Marc Girardelli,1,human_name
François Mitterrand,1,human_name
Titus Livius,1,human_name
Giuseppe Farina,1,human_name
Charles de Gaulle,1,human_name
Arturo Alessandri,1,human_name
François Villon,1,human_name
Andrei Tarkovsky,1,human_name
Joseph Stalin,1,human_name
Juan Luis Sanfuentes,1,human_name
Plato,1,human_name
Joseph Brodsky,1,human_name
Aristotle,1,human_name
Meryl Streep,1,human_name
Charlie Chaplin,1,human_name
Józef Piłsudski,1,human_name
J. R. R. Tolkien,1,human_name
Franz Kafka,1,human_name
Jorge Luis Borges,1,human_name
Socrates,1,human_name
Bernlef,1,human_name
Roald Amundsen,1,human_name
Harry Mulisch,1,human_name
Konstantin Melnikov,1,human_name
Isaac Newton,1,human_name
Albert Einstein,1,human_name
Pedro I,1,human_name
Donald Tusk,1,human_name
John Bardeen,1,human_name
Miles Franklin,1,human_name
John Paul II,1,human_name
Fyodor Dostoyevsky,1,human_name
Andrei Sakharov,1,human_name
Mahatma Gandhi,1,human_name
Roman Camenzind,1,human_name
France Prešeren,1,human_name
Charles Darwin,1,human_name
Carl Linnaeus,1,human_name
Jawaharlal Nehru,1,human_name
Julius Caesar,1,human_name
Ivan Regen,1,human_name
Italo Balbo,1,human_name
Narendra Modi,1,human_name
Alessandro Manzoni,1,human_name
Dante Alighieri,1,human_name
Julio Bashmore,1,human_name
Bill Clinton,1,human_name
Jean-Philippe Rameau,1,human_name
Indira Gandhi,1,human_name
Hector Berlioz,1,human_name
Maurice Ravel,1,human_name
Usain Bolt,1,human_name
Jean-Baptiste Lully,1,human_name
John Lennon,1,human_name
Hubert Salentin,1,human_name
Giorgio Napolitano,1,human_name
Carlo Azeglio Ciampi,1,human_name
Bruce Springsteen,1,human_name
Oscar Luigi Scalfaro,1,human_name
Francesco Cossiga,1,human_name
Sandro Pertini,1,human_name
Giovanni Leone,1,human_name
Giuseppe Saragat,1,human_name
Antonio Segni,1,human_name
Giovanni Gronchi,1,human_name
Luigi Einaudi,1,human_name
Enrico De Nicola,1,human_name
Ban Ki-moon,1,human_name
Kofi Annan,1,human_name
Boutros Boutros-Ghali,1,human_name
Javier Pérez de Cuéllar,1,human_name
Kurt Waldheim,1,human_name
U Thant,1,human_name
Dag Hammarskjöld,1,human_name
Frédéric Chopin,1,human_name
Trygve Lie,1,human_name
Gladwyn Jebb,1,human_name
Leonard Cohen,1,human_name
Blaise Pascal,1,human_name
Ramón Barros Luco,1,human_name
Pedro Montt,1,human_name
Germán Riesco,1,human_name
Saddam Hussein,1,human_name
Osama bin Laden,1,human_name
Aníbal Zañartu,1,human_name
Federico Errázuriz Echaurren,1,human_name
Jorge Montt,1,human_name
José Manuel Balmaceda,1,human_name
Domingo Santa María,1,human_name
Aníbal Pinto,1,human_name
Friedrich Hayek,1,human_name
Federico Marcos del Rosario Errázuriz Zañartu,1,human_name
José Joaquín Pérez,1,human_name
Manuel Montt,1,human_name
Manuel Bulnes,1,human_name
José Joaquín Prieto,1,human_name
Manuel Blanco Encalada,1,human_name
Ramón Freire,1,human_name
Francisco Antonio Pinto,1,human_name
Johann Sebastian Bach,1,human_name
Antonio Vivaldi,1,human_name
Dave Arneson,1,human_name
Vladimir Lenin,1,human_name
Leo Ortolani,1,human_name
Virgil,1,human_name
Seneca,1,human_name
Juan Manuel Fangio,1,human_name
David Lynch,1,human_name
Marcel Hirscher,1,human_name
Alberto Ascari,1,human_name
Kjetil André Aamodt,1,human_name
Martial,1,human_name
Mike Hawthorn,1,human_name
Jacques Chirac,1,human_name
Hans Schmidt,1,human_name
Valéry Giscard d'Estaing,1,human_name
Jack Brabham,1,human_name
Bode Miller,1,human_name
Giridharilal Kedia,1,human_name
Subhas Chandra Bose,1,human_name
Tacitus,1,human_name
Lance Armstrong,1,human_name
Georges Pompidou,1,human_name
Coluche,1,human_name
Pierre Desproges,1,human_name
Edwin Aldrin Jr.,1,human_name
Scipio Africanus,1,human_name
Julia the Elder,1,human_name
Tom Hanks,1,human_name
Chet Baker,1,human_name
Totò,1,human_name
Scipio Aemilianus,1,human_name
Emil Sayfutdinov,1,human_name
Nicki Pedersen,1,human_name
Robin van Persie,1,human_name
Konrad Adenauer,1,human_name
Benedict XVI,1,human_name
Ludwig Erhard,1,human_name
Kurt Georg Kiesinger,1,human_name
Willy Brandt,1,human_name
Helmut Schmidt,1,human_name
Helmut Kohl,1,human_name
Gerhard Schröder,1,human_name
Joachim Gauck,1,human_name
Christian Wulff,1,human_name
Horst Köhler,1,human_name
Mark Millar,1,human_name
Johannes Rau,1,human_name
Roman Herzog,1,human_name
Isaac Brock,1,human_name
Richard von Weizsäcker,1,human_name
Karl Carstens,1,human_name
"John Romita, Jr.",1,human_name
Walter Scheel,1,human_name
Gustav Heinemann,1,human_name
Heinrich Lübke,1,human_name
Matthew Vaughn,1,human_name
Theodor Heuss,1,human_name
Johanna Braddy,1,human_name
Paul McCartney,1,human_name
Manfred Gerlach,1,human_name
Egon Krenz,1,human_name
Pius XII,1,human_name
Erich Honecker,1,human_name
Willi Stoph,1,human_name
Walter Ulbricht,1,human_name
Ringo Starr,1,human_name
George Harrison,1,human_name
Friedrich Ebert,1,human_name
John Franklin,1,human_name
Paul von Hindenburg,1,human_name
